index,brand_name,model,price,rating,processor,processor_brand,iter,ram,threads_num,core_num,ram_num,memory_type,memory_size,gpu_brand,gpu_type,os,display_size,resolutioin_height,resolutioin_width,Touch_Screen,warrenty
217,Acer,Acer Aspire Lite AL15-41 Laptop (AMD Ryzen 3 5300U/ 16GB/ 512GB SSD/ Win11),29990,4.25,5th Gen AMD Ryzen 3 5300U,AMD,Ryzen 3,16 GB DDR4 RAM,8.0,8.0,16,SSD,512,AMD,Integrated,Windows 11,15.6,1920,1080,False,1
218,Acer,Acer Aspire Lite AL15-41 Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11),25990,4.05,5th Gen AMD Ryzen 3 5300U,AMD,Ryzen 3,8 GB DDR4 RAM,8.0,8.0,8,SSD,512,AMD,Integrated,Windows 11,15.6,1920,1080,False,1
219,HP,HP Omen 14-fb0089TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),125990,4.5,Intel Core Ultra 7 Series 1 155H,Intel,Core Ultra 7,16 GB LPDDR5x RAM,22.0,16.0,16,SSD,1000,NVIDIA,Dedicated,Windows 11,14,2880,1800,False,1
220,Samsung,Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),54590,4.45,Intel Core 5 Processor Series 1 120U,Intel,Other,16 GB LPDDR4x RAM,12.0,10.0,16,SSD,512,Intel,Integrated,Windows 11,15.6,1920,1080,False,1
221,HP,HP Omen Transcend 14-fb0007TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),126990,4.65,Intel Core Ultra 7 Series 1 155H,Intel,Core Ultra 7,16 GB LPDDR5x RAM,22.0,16.0,16,SSD,1000,NVIDIA,Dedicated,Windows 11,14,2880,1800,False,1
222,MSI,MSI Cyborg 15 AI A1VFK-049IN Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),101990,4.3,Intel Core Ultra 7 Series 1 155H,Intel,Core Ultra 7,16 GB DDR5 RAM,22.0,16.0,16,SSD,1000,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,2
223,Apple,Apple MacBook Air 2024 MRXW3HN/A Laptop (Apple M3/ 8GB/ 512GB SSD/ MacOS),113900,4.3,Apple M3,Apple,Other,8 GB  RAM,,8.0,8,SSD,512,Apple,Integrated,Mac,13.6,2560,1664,False,1
224,MSI,MSI Vector 16 HX A14VGG-279IN Gaming Laptop (14th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),189990,4.45,14th Gen Intel Core i7 14700HX,Intel,Core i7,32 GB DDR5 RAM,28.0,20.0,32,SSD,1000,NVIDIA,Dedicated,Windows 11,16,2560,1600,False,2
225,MSI,MSI Thin A15 AI B7VE-066IN Gaming Laptop (AMD Ryzen 5 7535H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),73490,4.5,7th Gen AMD Ryzen 5 7535HS,AMD,Ryzen 5,16 GB DDR4 RAM,12.0,8.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,2
226,HP,HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),58900,4.25,12th Gen Intel Core i5 12450H,Intel,Core i5,16 GB DDR4 RAM,12.0,8.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,16.1,1920,1080,False,1
227,Xiaomi,Xiaomi Redmi Book Pro 16 2024 Laptop (Intel Core Ultra 5/ 32GB/ 1TB SSD/ Win 11),69990,4.05,Intel Core Ultra 5 Series 1 125H,Intel,Core Ultra 5,32 GB LPDDR5x RAM,18.0,14.0,32,SSD,1000,Intel,Integrated,Windows 11,16,3072,1920,False,1
228,Dell,Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),77990,4.05,13th Gen Intel Core i5 13450HX,Intel,Core i5,16 GB DDR5 RAM,16.0,10.0,16,SSD,1000,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
229,Lenovo,Lenovo LOQ 15IRX9 83DV007FIN Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),114990,4.7,14th Gen Intel Core i7 14700HX,Intel,Core i7,16 GB DDR5 RAM,28.0,20.0,16,SSD,1000,NVIDIA,Dedicated,Windows 11,15.6,1920,1080,False,1
230,HP,HP Omen 16-xf0081AX Gaming Laptop (AMD Ryzen 7 7840HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),135999,4.35,7th Gen AMD Ryzen 7 7840HS,AMD,Ryzen 7,32 GB DDR5 RAM,16.0,8.0,32,SSD,1000,NVIDIA,Dedicated,Windows 11,16,1440,2560,False,1
231,Lenovo,Lenovo Ideapad Slim 3 Chrome 14M868 82XJ002LHA Laptop (MediaTek Kompanio 520/ 4GB/ 128GB eMMC/ Chrome OS),12990,4.65,MediaTek Kompanio 520 Kompanio 520,MediaTek,Other,4 GB LPDDR4X RAM,,8.0,4,eMMC Storage,128,Arm,Integrated,Chrome,14,1366,768,False,1
232,Infinix,Infinix INBook Y4 Max Series YL613 Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win 11 Home),59990,4.45,13th Gen Intel Core i3 1315U,Intel,Core i3,16 GB LPDDR4X RAM,8.0,8.0,16,SSD,512,Intel,Integrated,Windows 11,16,1920,1200,False,1
